Clone;Temp;PLANO;Rep;MOE;RC
1;350;PER;1;245.06;4.29
1;350;PER;2;158.7;4.79
1;350;PER;3;119.45;5.09
2;350;PER;1;22.78;2
2;350;PER;2;41.91;2.79
2;350;PER;3;56.86;1.9
3;350;PER;1;212.03;2.99
3;350;PER;2;204.3;3.39
3;350;PER;3;152.21;4.09
4;350;PER;1;67.28;3.09
4;350;PER;2;322.11;4.59
4;350;PER;3;391.93;3.69
5;350;PER;1;119.72;3.39
5;350;PER;2;94.79;0.6
5;350;PER;3;48.26;1.9
6;350;PER;1;83.65;3.09
6;350;PER;2;117.15;3.19
6;350;PER;3;302.65;5.89
7;350;PER;1;72.31;2.5
7;350;PER;2;180.15;3.59
7;350;PER;3;76.98;2
1;450;PER;1;53.12;2
1;450;PER;2;74.05;0.9
1;450;PER;3;64.6;2.4
2;450;PER;1;110.9;3.09
2;450;PER;2;131.78;2.99
2;450;PER;3;153.59;4.29
3;450;PER;1;116.41;3.59
3;450;PER;2;133.91;2.59
3;450;PER;3;95.73;3.29
4;450;PER;1;248.23;4.09
4;450;PER;2;167.6;3.89
4;450;PER;3;161.99;3.29
5;450;PER;1;402.4;2.1
5;450;PER;2;98.88;2.4
5;450;PER;3;277.79;3.89
6;450;PER;1;110.52;1.7
6;450;PER;2;122.52;2.69
6;450;PER;3;233.81;2.79
7;450;PER;1;49.01;1.7
7;450;PER;2;65.17;2.1
7;450;PER;3;94.61;2.2
1;550;PER;1;276.38;3.29
1;550;PER;2;88.57;3.19
1;550;PER;3;158.56;3.69
2;550;PER;1;345.27;3.09
2;550;PER;2;122.52;2.4
2;550;PER;3;152.34;1.8
3;550;PER;1;189.17;2.69
3;550;PER;2;137.31;2.59
3;550;PER;3;324.45;2.4
4;550;PER;1;325.74;2.5
4;550;PER;2;485.18;3.29
4;550;PER;3;176.6;2.99
5;550;PER;1;343.89;2.3
5;550;PER;2;111.17;2.59
5;550;PER;3;220.92;1.7
6;550;PER;1;125.89;2.79
6;550;PER;2;133.4;2.1
6;550;PER;3;165.34;2.99
7;550;PER;1;70.2;2.59
7;550;PER;2;216.32;3.79
7;550;PER;3;145.06;2.99
1;700;PER;1;349.16;6.79
1;700;PER;2;361.65;7.88
1;700;PER;3;364.75;2.59
2;700;PER;1;288.89;5.69
2;700;PER;2;291.5;4.99
2;700;PER;3;410.23;8.28
3;700;PER;1;420.45;5.59
3;700;PER;2;264.9;4.79
3;700;PER;3;82.75;2
4;700;PER;1;539.63;3.79
4;700;PER;2;743.88;5.69
4;700;PER;3;110.83;2.5
5;700;PER;1;227.04;3.99
5;700;PER;2;248.12;2.89
5;700;PER;3;499.15;4.29
6;700;PER;1;459.14;4.49
6;700;PER;2;300.28;4.89
6;700;PER;3;366.39;5.49
7;700;PER;1;424.33;6.69
7;700;PER;2;145.09;3.39
7;700;PER;3;358.09;3.99
1;350;PAR;1;931.3;14.51
1;350;PAR;2;898.19;17.16
1;350;PAR;3;1204.51;24.12
2;350;PAR;1;1083.51;14.71
2;350;PAR;2;1054.78;22.65
2;350;PAR;3;1149.54;21.37
3;350;PAR;1;972.51;18.04
3;350;PAR;2;1126.26;20.69
3;350;PAR;3;1110.8;22.18
4;350;PAR;1;1121.51;18.82
4;350;PAR;2;1214.91;21.96
4;350;PAR;3;1341.88;25.2
5;350;PAR;1;659.02;10.39
5;350;PAR;2;841.12;16.47
5;350;PAR;3;1044.37;20.2
6;350;PAR;1;1349.85;21.37
6;350;PAR;2;1106.12;19.51
6;350;PAR;3;1218.13;22.16
7;350;PAR;1;976.67;23.14
7;350;PAR;2;882.05;18.14
7;350;PAR;3;1062.31;26.76
1;450;PAR;1;1219.37;17.75
1;450;PAR;2;1304.42;20.69
1;450;PAR;3;1103.93;15
2;450;PAR;1;1261.61;22.06
2;450;PAR;2;1098.57;14.61
2;450;PAR;3;993.46;13.43
3;450;PAR;1;1343.1;17.06
3;450;PAR;2;1371.44;22.75
3;450;PAR;3;1367.37;20.98
4;450;PAR;1;1227.28;17.06
4;450;PAR;2;1564.63;15.29
4;450;PAR;3;1572.34;17.25
5;450;PAR;1;1448.18;22.45
5;450;PAR;2;1265.95;19.02
5;450;PAR;3;1346.51;16.47
6;450;PAR;1;1390.19;22.55
6;450;PAR;2;1278.49;20.1
6;450;PAR;3;1216.57;19.51
7;450;PAR;1;1283.25;21.86
7;450;PAR;2;1460.03;26.67
7;450;PAR;3;1381.63;31.47
1;550;PAR;1;1805.56;23.51
1;550;PAR;2;1762.54;23.2
1;550;PAR;3;1782.88;26.27
2;550;PAR;1;1522.77;19.06
2;550;PAR;2;1471.18;19.89
2;550;PAR;3;1518.13;16.18
3;550;PAR;1;1112.86;11.18
3;550;PAR;2;1103.49;10.49
3;550;PAR;3;1166.58;10.59
4;550;PAR;1;656.41;6.47
4;550;PAR;2;1020.16;10.98
4;550;PAR;3;623.29;11.76
5;550;PAR;1;1680.86;23.82
5;550;PAR;2;1651.36;22.37
5;550;PAR;3;1545.76;22.65
6;550;PAR;1;774.82;14.51
6;550;PAR;2;1674.88;29.02
6;550;PAR;3;1150.41;11.76
7;550;PAR;1;967.18;15.09
7;550;PAR;2;1367.03;19.11
7;550;PAR;3;1552.31;17.35
1;700;PAR;1;2626.68;31.86
1;700;PAR;2;2313.35;26.76
1;700;PAR;3;2142.95;31.96
2;700;PAR;1;1610.92;20.98
2;700;PAR;2;1568.91;22.25
2;700;PAR;3;2444.81;25.78
3;700;PAR;1;2486.88;23.04
3;700;PAR;2;2289.34;21.57
3;700;PAR;3;1738.37;26.18
4;700;PAR;1;2299.5;16.67
4;700;PAR;2;2980;32.65
4;700;PAR;3;2931.14;29.8
5;700;PAR;1;2074.76;25.88
5;700;PAR;2;2287.4;30.39
5;700;PAR;3;1793.98;21.27
6;700;PAR;1;2104.95;24.9
6;700;PAR;2;1384.77;33.73
6;700;PAR;3;2071.21;23.24
7;700;PAR;1;1523.99;12.94
7;700;PAR;2;2817.34;31.86
7;700;PAR;3;3040.34;34.9
